preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,espaco_social,piscina,academia
398000.0,90,2,3,1,2,1.0,1,180.0,135.0,1,0,0,0
205000.0,58,1,2,0,1,1.0,1,95.0,150.0,0,0,0,0
250000.0,62,1,3,0,1,8.0,1,90.0,430.0,0,1,1,0
180000.0,62,1,2,0,1,2.0,1,67.0,200.0,0,0,0,0
249000.0,67,1,2,0,1,1.0,1,59.39,200.0,0,0,0,0
315000.0,60,1,3,0,1,7.0,1,61.67,370.0,0,1,1,0
330000.0,58,2,2,1,2,6.0,1,59.12,450.0,1,0,0,1
375000.0,160,2,3,0,2,3.0,2,150.0,200.0,0,0,0,0
295000.0,100,1,2,0,1,3.0,1,37.96,200.0,1,0,0,0
230000.0,94,1,3,0,1,4.0,1,49.24,300.0,0,0,0,0
150000.0,45,1,2,0,1,2.0,1,37.05,200.0,0,0,0,0
185000.0,48,1,2,0,1,3.0,1,25.0,220.0,1,0,0,0
150000.0,50,1,2,0,1,1.0,1,400.0,220.0,1,0,0,0
180000.0,50,1,2,0,1,3.0,1,30.0,240.0,1,0,1,0
155000.0,50,1,2,0,1,1.0,1,38.04,220.0,1,0,0,0
220800.0,49,1,2,0,1,2.0,1,37.37,173.0,0,1,0,0
320000.0,96,1,3,1,1,2.0,2,58.33,250.0,0,0,0,0
250000.0,52,2,2,1,2,3.0,1,80.0,180.0,0,0,0,0
480000.0,140,3,4,2,3,3.0,1,100.0,200.0,0,0,0,0
217900.0,48,1,2,0,1,2.0,1,71.0,200.0,0,0,0,0
170000.0,56,1,2,0,1,4.0,1,76.0,180.0,1,0,0,0
230000.0,53,1,2,0,1,3.0,1,35.15,200.0,0,0,0,0
225000.0,53,1,2,0,1,2.0,1,36.0,200.0,0,0,0,0
245000.0,50,2,2,1,2,5.0,1,40.83,290.0,1,0,1,0
192284.0,45,1,2,0,1,3.0,1,100.0,254.0,1,0,1,0
198800.0,44,1,2,0,1,3.0,1,48.33,290.0,1,0,1,0
215000.0,45,1,2,0,1,5.0,1,50.0,298.0,1,0,1,0
195000.0,55,1,2,0,1,8.0,1,53.39,250.0,1,0,1,0
210000.0,65,1,3,0,1,3.0,1,75.0,280.0,1,0,0,0
195960.0,49,1,2,0,1,3.0,1,72.0,203.0,1,0,1,0
190000.0,48,1,2,0,1,2.0,1,42.66,200.0,1,0,1,0
190000.0,51,1,2,0,1,1.0,1,42.66,210.0,1,0,1,0
185000.0,55,1,2,0,1,4.0,1,42.66,203.2,1,0,1,0
375000.0,110,2,3,1,2,1.0,2,97.24,100.0,0,0,0,0
175000.0,45,1,2,0,1,4.0,1,62.0,250.0,1,0,1,0
180000.0,45,1,2,0,1,4.0,1,62.0,750.0,1,0,1,0
215000.0,45,1,2,0,1,3.0,1,72.0,280.0,1,0,1,0
212000.0,62,1,3,0,1,4.0,1,40.62,280.0,1,0,1,0
220000.0,50,1,2,0,1,2.0,1,78.2,230.0,0,0,0,0
180000.0,45,1,2,0,1,5.0,1,71.0,230.0,0,0,0,0
220000.0,60,1,3,0,1,4.0,1,65.0,180.0,0,0,0,0
230000.0,62,1,3,0,1,4.0,1,100.0,150.0,0,0,1,0
265000.0,63,1,3,0,1,4.0,1,83.33,159.0,0,0,0,0
185000.0,44,1,2,0,1,2.0,1,32.5,240.0,1,0,1,0
150000.0,44,1,2,0,1,2.0,0,31.08,70.0,0,0,0,0
245000.0,44,1,2,0,1,1.0,0,34.0,150.0,0,0,0,0
225000.0,48,1,2,0,1,2.0,1,63.0,100.0,0,0,0,0
229000.0,48,1,2,0,1,3.0,1,63.0,100.0,0,0,0,0
370000.0,103,1,2,0,1,4.0,1,84.92,200.0,0,0,0,0
170000.0,65,1,2,0,1,16.0,1,80.0,550.0,1,0,0,0
320000.0,70,2,3,1,2,2.0,2,80.0,150.0,0,0,0,0
210000.0,72,1,3,0,1,5.0,1,100.0,170.0,0,0,0,0
160000.0,51,1,2,0,1,1.0,1,28.0,204.0,0,0,0,0
120000.0,50,1,2,0,1,2.0,1,60.0,60.0,0,0,0,0
155900.0,181,1,2,0,1,1.0,1,37.32,190.0,1,0,1,0
260000.0,72,1,3,0,1,4.0,1,54.51,230.0,0,0,0,0
590000.0,198,2,3,1,2,1.0,2,183.16,250.0,0,0,0,0
575000.0,169,2,3,1,2,1.0,2,156.0,200.0,0,0,0,0
316138.0,69,1,2,1,1,5.0,1,90.0,224.0,0,0,0,0
195000.0,70,1,2,0,1,10.0,1,70.56,330.0,1,0,0,0
250000.0,60,1,2,0,1,6.0,1,31.0,325.0,1,0,0,0
250000.0,72,1,2,0,1,14.0,1,36.0,350.0,1,0,0,0
215000.0,60,1,2,0,1,13.0,1,350.0,340.0,1,0,0,0
330000.0,76,2,3,1,2,0.0,1,93.5,525.0,0,0,1,0
360000.0,85,2,3,1,2,7.0,2,1000.0,500.0,1,1,1,0
600000.0,86,2,3,1,2,6.0,1,89.0,500.0,0,1,0,0
354200.0,85,2,3,1,2,2.0,1,64.64,560.0,1,1,1,0
580000.0,172,3,3,1,3,9.0,2,254.0,540.0,1,1,1,0
350000.0,85,2,3,1,2,5.0,2,69.4,400.0,0,1,1,0
266600.0,59,1,2,0,1,1.0,1,82.0,380.0,1,1,1,1
410000.0,75,2,3,1,2,6.0,1,141.42,450.0,1,1,1,1
480000.0,77,2,3,1,2,7.0,2,121.0,460.0,1,1,1,0
430000.0,93,2,3,1,2,12.0,2,141.67,450.0,1,1,1,1
290000.0,55,2,2,1,2,2.0,1,86.64,350.0,1,1,1,0
360000.0,70,2,3,1,2,4.0,1,116.63,400.0,1,1,1,0
309000.0,70,1,2,1,1,11.0,1,140.0,365.0,1,1,1,0
380000.0,60,1,2,0,1,2.0,1,60.0,210.0,1,0,0,0
220000.0,45,1,2,0,1,2.0,1,42.39,169.0,1,0,0,0
225000.0,55,1,2,0,1,1.0,1,73.0,233.0,1,0,0,0
195000.0,45,1,2,0,1,4.0,1,75.0,180.0,1,0,0,0
798000.0,135,2,4,1,2,3.0,2,200.0,300.0,0,0,0,0
655500.0,127,2,3,1,2,1.0,2,180.0,250.0,0,0,1,0
644000.0,160,3,4,2,3,3.0,4,148.0,230.0,0,0,0,0
662400.0,160,2,3,1,2,1.0,2,91.67,280.0,0,0,1,0
890000.0,200,2,3,1,2,1.0,2,166.0,150.0,0,1,0,0
459266.88,96,2,3,1,2,1.0,1,51.02,100.0,0,0,0,0
280000.0,70,1,2,0,1,3.0,1,41.06,236.0,0,0,0,0
188861.03,50,1,2,0,1,3.0,2,30.91,180.0,0,0,0,0
756900.0,111,3,4,1,3,3.0,2,205.0,250.0,0,0,0,0
400000.0,90,2,3,1,2,1.0,1,108.33,250.0,0,0,0,0
730000.0,140,2,4,1,2,3.0,2,250.0,320.0,1,0,0,0
590000.0,130,2,3,1,2,2.0,1,1000.0,275.0,0,0,0,0
320000.0,68,2,2,1,2,2.0,2,120.0,380.0,0,0,0,0
550000.0,100,2,3,1,2,1.0,2,148.91,500.0,0,0,0,0
341000.0,117,1,2,0,1,1.0,1,47.25,90.0,0,0,0,0
450000.0,145,2,3,1,2,2.0,2,149.04,250.0,0,0,0,0
245000.0,60,1,2,0,1,3.0,1,44.27,140.0,0,0,0,0
380000.0,140,2,3,1,2,2.0,1,66.67,200.0,0,0,0,0
571000.0,107,2,3,1,2,1.0,2,180.0,180.0,0,0,0,0
650000.0,120,2,3,0,2,1.0,2,1100.0,200.0,0,0,0,0
710000.0,156,2,3,1,2,1.0,2,200.0,400.0,0,0,1,0
315000.0,75,1,2,0,1,4.0,1,96.0,200.0,0,0,0,0
360000.0,120,2,2,1,2,3.0,1,101.0,170.0,0,0,0,0
275000.0,80,2,2,1,2,1.0,1,101.0,170.0,0,0,0,0
275000.0,80,2,2,1,2,2.0,1,101.0,170.0,0,0,0,0
