preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,distancia_metro,espaco_social,piscina,academia,lat,lng,ranking_escola,distancia_escola,renda_media,qtd_crimes_violentos,farmacias_proximas,supermercados_proximos,parques_proximos
415000.0,110,2,2,1,2,4.0,1,170.0,200.0,0,2356,0,0,0,-19.81455998,-43.96786001,26,0.259,6171,21,4,2,5
279000.0,52,2,2,1,2,2.0,1,70.0,200.0,0,2356,0,0,0,-19.81455998,-43.96786001,26,0.259,6171,21,4,2,5
165000.0,59,2,2,0,2,0.0,1,27.0,230.0,0,3548,0,0,0,-19.81137448,-43.97875751,64,0.977,2196,39,6,4,3
190000.0,58,1,2,0,1,2.0,1,38.97,260.0,1,3548,0,0,0,-19.81137448,-43.97875751,64,0.977,2196,39,6,4,3
205000.0,51,2,2,1,2,2.0,1,36.02,450.0,1,4084,0,0,0,-19.81535448,-43.98514725,64,1.222,2196,39,8,9,3
204750.0,50,1,2,0,1,3.0,1,28.33,150.0,0,4263,0,0,0,-19.8153803,-43.986893,110,1.339,1705,39,6,10,1
395000.0,80,2,3,1,2,3.0,2,125.0,290.0,0,3503,0,0,0,-19.8195356,-43.98013,64,0.628,2196,39,13,6,3
270000.0,47,1,2,0,1,2.0,1,37.5,260.0,0,3640,0,0,0,-19.81981393,-43.98146221,64,0.77,2196,39,13,7,2
370000.0,69,2,3,1,2,2.0,2,66.67,150.0,0,3494,0,0,0,-19.8201998,-43.9800883,64,0.635,2196,39,14,6,3
620000.0,132,2,4,1,2,4.0,2,66.67,150.0,0,3494,0,0,0,-19.8201998,-43.9800883,64,0.635,2196,39,14,6,3
245000.0,50,1,2,0,1,1.0,1,35.0,180.0,0,3624,0,0,0,-19.82153416,-43.98137132,124,0.794,1273,39,14,9,3
600000.0,140,2,4,1,2,1.0,2,148.0,250.0,0,3637,0,0,0,-19.82160504,-43.98149737,124,0.784,1273,39,14,9,2
215000.0,62,1,3,0,1,1.0,1,51.02,260.0,1,3673,0,1,0,-19.822938,-43.98183,124,0.633,1273,39,14,9,2
215000.0,55,1,2,0,1,1.0,1,66.67,230.0,0,3673,0,1,0,-19.822938,-43.98183,124,0.633,1273,39,14,9,2
215000.0,60,1,3,0,1,2.0,1,85.0,236.0,1,3673,0,1,0,-19.822938,-43.98183,124,0.633,1273,39,14,9,2
214310.0,67,1,3,0,1,1.0,0,639.0,147.0,0,2286,0,0,0,-19.8121125,-43.9659601,26,0.352,6171,36,6,4,4
180000.0,55,1,2,0,1,1.0,1,41.2,210.0,0,2204,0,0,0,-19.8127283,-43.9654186,26,0.281,6171,36,8,5,3
220000.0,44,1,2,0,1,5.0,1,400.0,100.0,0,1568,0,0,0,-19.8176169,-43.9610175,71,0.224,1853,36,15,6,3
218000.0,44,1,2,0,1,3.0,1,33.33,100.0,0,1568,0,0,0,-19.8176169,-43.9610175,71,0.224,1853,36,15,6,3
219000.0,44,1,2,0,1,4.0,1,33.33,100.0,0,1568,0,0,0,-19.8176169,-43.9610175,71,0.224,1853,36,15,6,3
